market,long profit,short profit,long wins,short wins,long losses,short losses,long uptrend size,long downtrend size,short uptrend size,short downtrend size,risk ratio tp,risk ratio sl,timeframe,long winrate,short winrate,method,date start,date end
BTCUSDT,0,-6.584139136714077,0,3,0,6,0,0,0,0,3.0,2.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,5.6336130875049335,0,0,0,1,0,0,0,0,3.0,2.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,2.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,2.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,-5.001249279773285,0,3,0,6,0,0,0,0,3.0,2.5,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,6.943826520121332,0,0,0,1,0,0,0,0,3.0,2.5,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,2.5,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.0,2.5,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,2.227045873186328,0,2,0,7,0,0,0,0,3.5,1.0,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,2.8987877103329454,0,0,0,1,0,0,0,0,3.5,1.0,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,1.0,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,1.0,1d,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,5.314509004512442,0,2,0,7,0,0,0,0,3.5,1.5,15m,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,4.285813772861125,0,0,0,1,0,0,0,0,3.5,1.5,1h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,1.5,4h,0,0,2,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,3.5,1.5,1d,0,0,2,5 May 2013,17 June 2021
